start_date,end_date,duration,id
12/22/1982,1/21/1983,30,100
4/12/1983,7/25/1983,104,100
1/15/1984,2/25/1984,41,100
3/14/1993,4/26/1993,43,100
2/5/1998,8/15/1998,191,100
11/24/2003,1/2/2004,39,100
2/20/2013,4/30/2013,69,100
5/6/2013,11/15/2013,193,100
8/2/2014,9/10/2014,39,100
3/25/2015,4/28/2015,34,100
5/15/2015,12/28/2015,227,100
2/17/2016,1/17/2017,334,100
6/20/2017,12/17/2017,180,100
12/22/2018,3/12/2019,80,100
7/24/2019,12/27/2019,156,100
4/15/1983,6/2/1983,48,101
3/18/1993,6/24/1993,98,101
2/14/1998,5/24/1998,99,101
7/7/2003,8/19/2003,43,101
11/26/2003,1/6/2004,41,101
2/15/2013,4/2/2013,46,101
3/24/2015,1/3/2016,285,101
2/17/2016,1/18/2017,335,101
5/17/2017,2/6/2018,265,101
5/5/2018,12/4/2018,213,101
12/15/2018,3/23/2019,98,101
6/4/2019,1/2/2020,212,101
3/18/1993,4/28/1993,41,102
2/17/1998,6/23/1998,126,102
11/27/2003,1/6/2004,40,102
2/18/2013,5/19/2013,90,102
1/13/2014,2/25/2014,43,102
1/5/2015,1/5/2016,365,102
2/20/2016,1/30/2017,344,102
5/15/2017,2/4/2018,265,102
5/16/2018,11/25/2018,193,102
12/23/2018,3/20/2019,87,102
6/8/2019,1/5/2020,211,102
12/8/2020,2/11/2021,65,102
5/19/2021,8/31/2021,104,102
2/28/1981,3/31/1981,31,105
12/7/1982,2/2/1983,57,105
4/17/1983,8/7/1983,112,105
9/7/1983,10/8/1983,31,105
11/13/1983,12/20/1983,37,105
1/11/1984,2/14/1984,34,105
1/28/1993,5/17/1993,109,105
6/10/1993,9/14/1993,96,105
10/24/1993,12/9/1993,46,105
4/10/1998,7/22/1998,103,105
10/16/2007,11/28/2007,43,105
4/13/2012,6/7/2012,55,105
7/21/2013,11/1/2013,103,105
7/25/2014,3/22/2015,240,105
3/24/2015,4/24/2015,31,105
5/29/2015,1/14/2016,230,105
2/20/2016,2/1/2017,346,105
6/4/2017,1/25/2018,235,105
4/12/1983,7/20/1983,99,106
3/6/1992,5/18/1992,73,106
12/20/1992,9/19/1993,273,106
10/18/1993,12/7/1993,50,106
2/5/1998,10/8/1998,245,106
1/8/2001,2/15/2001,38,106
12/1/2003,1/2/2004,32,106
10/27/2007,12/1/2007,35,106
12/21/2014,1/27/2015,37,106
3/19/2015,12/28/2015,284,106
3/7/2016,6/8/2016,93,106
6/27/2016,11/7/2016,133,106
7/21/2017,10/28/2017,99,106
9/25/2018,11/14/2018,50,106
9/7/2019,12/4/2019,88,106
3/2/1983,8/2/1983,153,107
12/24/1992,7/21/1993,209,107
2/13/1998,7/17/1998,154,107
11/29/2003,1/4/2004,36,107
8/7/2014,9/13/2014,37,107
11/18/2014,1/2/2016,410,107
3/19/2016,1/9/2017,296,107
7/16/2017,12/8/2017,145,107
7/6/2018,11/23/2018,140,107
12/22/2018,2/21/2019,61,107
7/27/2019,12/23/2019,149,107
3/4/1981,4/8/1981,35,108
5/13/1981,6/23/1981,41,108
1/9/1983,10/1/1983,265,108
1/20/1993,3/3/1993,42,108
3/12/1993,8/15/1993,156,108
8/18/1993,11/10/1993,84,108
4/16/1998,7/30/1998,105,108
